unit_type,unit,files,ncloc,cc_total,cc_per_fn,cc_mean_method_ck,cc_max_method_ck,cognitive_total,cognitive_per_fn,code_smells,smells_per_kloc,duplication_pct,cbo_mean,cbo_median,cbo_max,ck_classes,maint_rating,tech_debt_ratio_pct,tech_debt_min
R,R003_module_java,29,1586,314,2.01,2.06,13,242,1.55,186,117.28,2.2,4.42,4.0,20,33,A,3.0,1407
R,R004_module_java,28,1646,377,1.97,1.94,15,282,1.48,223,135.48,1.6,5.42,3.0,21,31,A,3.1,1531
R,R005_module_java,25,2065,391,1.75,1.79,11,278,1.25,108,52.3,0.6,3.31,2.5,20,26,A,1.3,834
R,R006_module_java,35,1763,319,1.99,2.04,15,277,1.73,174,98.7,2.5,5.38,5.0,18,39,A,2.2,1157
R,R007_module_java,16,1395,323,2.5,2.57,13,327,2.53,120,86.02,12.9,5.06,4.0,14,17,A,1.8,761
R,R008_module_java,21,1557,305,2.36,2.37,20,272,2.11,140,89.92,3.6,3.83,3.0,15,23,A,1.8,840
R,R009_module_java,20,1625,365,1.74,1.8,11,276,1.31,140,86.15,17.5,4.88,5.0,16,24,A,1.6,798
R,R010_module_java,17,1400,328,2.83,2.87,17,385,3.32,106,75.71,16.3,4.78,4.0,15,18,A,1.6,658
G,G001_dbeaver,6733,683199,119112,2.21,2.18,134,106157,1.97,27053,39.6,2.1,7.63,5.0,218,9404,A,1.3,270817
G,G002_elasticsearch,30572,4716097,707978,2.14,1.79,296,409291,1.23,114871,24.36,7.5,8.35,6.0,361,51079,A,0.8,1060133
G,G003_guava,3265,515631,85452,1.58,1.44,41,34326,0.63,10021,19.43,76.7,4.27,2.0,83,5960,A,0.5,72767
G,G004_spring_boot,9517,529754,80926,1.47,1.29,24,19727,0.36,16230,30.64,4.4,5.5,4.0,180,14070,A,0.6,93760
G,G005_termux,264,28299,6313,2.83,2.89,118,5843,2.62,1025,36.22,1.4,5.91,4.0,61,321,A,1.2,10072
